campaign_id,campaign_name,campaign_type,target_issue,target_segment,start_date,end_date,status,total_targeted,total_contacted,total_responded,total_converted,conversion_rate,response_rate,revenue_generated,campaign_cost,roi,avg_deal_value,offer_description,channel_used
CAMP_000,Upgrade - Internet Connectivity Q3,Upgrade,internet_connectivity,Speed Issues,2025-08-29,2025-09-18,Completed,1348,1150,182,108,8.01,15.83,319464,56616,4.64,2958,Special offer for internet connectivity customers,Multi-channel
CAMP_001,Cross-sell - Product Inquiry Q3,Cross-sell,product_inquiry,Speed Issues,2025-08-18,2025-09-03,Completed,178,174,72,31,17.42,41.38,21328,11570,0.84,688,Special offer for product inquiry customers,Call
CAMP_002,Cross-sell - Billing Overcharge Q3,Cross-sell,billing_overcharge,All Customers,2025-07-13,2025-08-20,Completed,653,622,256,88,13.48,41.16,102080,35262,1.89,1160,Special offer for billing overcharge customers,App Notification
CAMP_003,Upgrade - Billing Overcharge Q2,Upgrade,billing_overcharge,High Churn,2025-05-23,2025-06-22,Completed,1501,1297,478,105,7.0,36.85,56700,78052,-0.27,540,Special offer for billing overcharge customers,App Notification
CAMP_004,Upsell - Product Inquiry Q2,Upsell,product_inquiry,All Customers,2025-06-30,2025-08-29,Completed,230,217,45,21,9.13,20.74,54747,13800,2.97,2607,Special offer for product inquiry customers,Email
CAMP_005,Cross-sell - Billing Overcharge Q2,Cross-sell,billing_overcharge,High Churn,2025-05-21,2025-07-19,Completed,170,150,26,11,6.47,17.33,7062,6630,0.07,642,Special offer for billing overcharge customers,Call
CAMP_006,Upsell - Internet Connectivity Q2,Upsell,internet_connectivity,Billing Complaints,2025-06-04,2025-07-27,Completed,780,715,321,97,12.44,44.9,105633,22620,3.67,1089,Special offer for internet connectivity customers,Multi-channel
CAMP_007,Cross-sell - Tv Channels Q3,Cross-sell,tv_channels,All Customers,2025-09-20,2025-10-21,Completed,1875,1625,533,170,9.07,32.8,185130,69375,1.67,1089,Special offer for tv channels customers,Call
CAMP_008,Winback - Customer Retention Q3,Winback,customer_retention,Billing Complaints,2025-08-07,2025-09-16,Completed,711,618,156,50,7.03,25.24,35400,32706,0.08,708,Special offer for customer retention customers,Multi-channel
CAMP_009,Cross-sell - Internet Speed Q3,Cross-sell,internet_speed,Billing Complaints,2025-07-26,2025-08-19,Completed,594,510,202,53,8.92,39.61,73193,35640,1.05,1381,Special offer for internet speed customers,App Notification
CAMP_010,Upsell - Billing Downgrade Q4,Upsell,billing_downgrade,Billing Complaints,2025-10-07,2025-11-04,Completed,414,374,90,31,7.49,24.06,75702,15732,3.81,2442,Special offer for billing downgrade customers,Call
CAMP_011,Upgrade - Tv Channels Q3,Upgrade,tv_channels,All Customers,2025-08-12,2025-09-19,Completed,1065,935,362,127,11.92,38.72,173482,82005,1.12,1366,Special offer for tv channels customers,Multi-channel
