week,category,geography,issue_count,avg_churn_score,change_percentage,trend,severity
2025-W32,account_issues,Agra,1,0.31,0.0,stable,low
2025-W33,account_issues,Agra,2,0.615,100.0,increasing,low
2025-W34,account_issues,Agra,6,0.3,200.0,increasing,low
2025-W35,account_issues,Agra,1,0.41,-83.33,decreasing,low
2025-W36,account_issues,Agra,5,0.316,400.0,increasing,low
2025-W37,account_issues,Agra,1,0.25,-80.0,decreasing,low
2025-W38,account_issues,Agra,5,0.33199999999999996,400.0,increasing,low
2025-W39,account_issues,Agra,2,0.345,-60.0,decreasing,low
2025-W40,account_issues,Agra,3,0.23666666666666666,50.0,increasing,low
2025-W41,account_issues,Agra,2,0.27,-33.33,decreasing,low
2025-W42,account_issues,Agra,1,0.43,-50.0,decreasing,low
2025-W43,account_issues,Agra,3,0.3133333333333333,200.0,increasing,low
2025-W44,account_issues,Agra,2,0.275,-33.33,decreasing,low
2025-W45,account_issues,Agra,1,0.48,-50.0,decreasing,low
2025-W32,account_issues,Ahmedabad,3,0.27,0.0,stable,low
2025-W33,account_issues,Ahmedabad,4,0.435,33.33,increasing,low
2025-W34,account_issues,Ahmedabad,2,0.33999999999999997,-50.0,decreasing,low
2025-W35,account_issues,Ahmedabad,2,0.54,0.0,stable,low
2025-W36,account_issues,Ahmedabad,2,0.245,0.0,stable,low
2025-W37,account_issues,Ahmedabad,1,0.49,-50.0,decreasing,low
2025-W38,account_issues,Ahmedabad,3,0.3233333333333333,200.0,increasing,low
2025-W39,account_issues,Ahmedabad,5,0.37,66.67,increasing,low
2025-W41,account_issues,Ahmedabad,4,0.4325,-20.0,decreasing,low
2025-W42,account_issues,Ahmedabad,3,0.5366666666666666,-25.0,decreasing,low
2025-W43,account_issues,Ahmedabad,6,0.48500000000000004,100.0,increasing,low
2025-W44,account_issues,Ahmedabad,3,0.25666666666666665,-50.0,decreasing,low
2025-W45,account_issues,Ahmedabad,5,0.21000000000000002,66.67,increasing,low
2025-W32,account_issues,Bangalore,2,0.615,0.0,stable,low
2025-W33,account_issues,Bangalore,3,0.4033333333333333,50.0,increasing,low
2025-W34,account_issues,Bangalore,7,0.44571428571428573,133.33,increasing,low
2025-W35,account_issues,Bangalore,1,0.2,-85.71,decreasing,low
2025-W36,account_issues,Bangalore,3,0.35333333333333333,200.0,increasing,low
2025-W37,account_issues,Bangalore,3,0.3566666666666667,0.0,stable,low
2025-W38,account_issues,Bangalore,6,0.4116666666666667,100.0,increasing,low
2025-W39,account_issues,Bangalore,2,0.41000000000000003,-66.67,decreasing,low
2025-W40,account_issues,Bangalore,3,0.47333333333333333,50.0,increasing,low
2025-W41,account_issues,Bangalore,3,0.38999999999999996,0.0,stable,low
2025-W42,account_issues,Bangalore,4,0.37,33.33,increasing,low
2025-W43,account_issues,Bangalore,3,0.3666666666666667,-25.0,decreasing,low
2025-W44,account_issues,Bangalore,3,0.6900000000000001,0.0,stable,low
2025-W45,account_issues,Bangalore,1,0.35,-66.67,decreasing,low
2025-W32,account_issues,Chandigarh,1,0.8,0.0,stable,low
